Region,Date,Unemployment_Rate
Tamil Nadu,2020-02-29,1.17
Tamil Nadu,2020-03-31,6.36
Tamil Nadu,2020-04-30,53.19
Tamil Nadu,2020-05-31,38.73
Tamil Nadu,2020-06-30,2.06
Telangana,2019-05-31,2.23
Telangana,2019-06-30,5.92
Telangana,2019-07-31,2.45
Telangana,2019-08-31,1.4
Telangana,2019-09-30,5.49
Telangana,2019-10-31,7.29
Telangana,2019-11-30,6.47
Telangana,2019-12-31,1.35
Telangana,2020-01-31,5.02
Telangana,2020-02-29,9.02
Telangana,2020-03-31,5.63
Telangana,2020-04-30,4.51
Telangana,2020-05-31,34.01
Telangana,2020-06-30,19.3
Tripura,2019-05-31,29.25
Tripura,2019-06-30,26.64
Tripura,2019-07-31,22.47
Tripura,2019-08-31,25.49
Tripura,2019-09-30,30.23
Tripura,2019-10-31,27.54
Tripura,2019-11-30,25.25
Tripura,2019-12-31,26.53
Tripura,2020-01-31,31.91
Tripura,2020-02-29,26.22
Tripura,2020-03-31,31.61
Tripura,2020-04-30,43.64
Tripura,2020-05-31,14.71
Tripura,2020-06-30,18.84
Uttar Pradesh,2019-05-31,10.26
Uttar Pradesh,2019-06-30,11.13
Uttar Pradesh,2019-07-31,9.19
Uttar Pradesh,2019-08-31,11.47
Uttar Pradesh,2019-09-30,6.45
Uttar Pradesh,2019-10-31,10.18
Uttar Pradesh,2019-11-30,6.94
Uttar Pradesh,2019-12-31,8.43
Uttar Pradesh,2020-01-31,6.06
Uttar Pradesh,2020-02-29,8.12
Uttar Pradesh,2020-03-31,9.37
Uttar Pradesh,2020-04-30,19.92
Uttar Pradesh,2020-05-31,16.89
Uttar Pradesh,2020-06-30,8.51
Uttarakhand,2019-05-31,1.63
Uttarakhand,2019-06-30,4.65
Uttarakhand,2019-07-31,5.74
Uttarakhand,2019-08-31,6.11
Uttarakhand,2019-09-30,3.47
Uttarakhand,2019-10-31,4.83
Uttarakhand,2019-11-30,5.56
Uttarakhand,2019-12-31,4.52
Uttarakhand,2020-01-31,4.17
Uttarakhand,2020-02-29,4.85
Uttarakhand,2020-04-30,3.66
Uttarakhand,2020-05-31,3.57
Uttarakhand,2020-06-30,10.71
West Bengal,2019-05-31,6.02
West Bengal,2019-06-30,5.85
West Bengal,2019-07-31,5.62
West Bengal,2019-08-31,5.58
West Bengal,2019-09-30,5.26
West Bengal,2019-10-31,6.78
West Bengal,2019-11-30,5.83
West Bengal,2019-12-31,5.79
West Bengal,2020-01-31,6.79
West Bengal,2020-02-29,3.78
West Bengal,2020-03-31,7.02
West Bengal,2020-04-30,18.32
West Bengal,2020-05-31,18.43
West Bengal,2020-06-30,4.94
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Andhra Pradesh,2019-05-31,6.09
Andhra Pradesh,2019-06-30,3.8
Andhra Pradesh,2019-07-31,5.64
Andhra Pradesh,2019-08-31,4.61
Andhra Pradesh,2019-09-30,6.01
Andhra Pradesh,2019-10-31,4.7
Andhra Pradesh,2019-11-30,7.54
Andhra Pradesh,2019-12-31,7.88
Andhra Pradesh,2020-01-31,7.11
Andhra Pradesh,2020-02-29,5.66
Andhra Pradesh,2020-03-31,9.88
Andhra Pradesh,2020-04-30,32.3
Andhra Pradesh,2020-05-31,24.91
